Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,"Financial Year Baseline (£m, Presented in 2024/25 Real Prices)","Financial Year Forecast (£m, Presented in 2024/25 Real Prices)",Financial Year Variance (%),In Year Variance Narrative,"Whole Life Cost (£m, Presented in 2024/25 Real Prices)",Costs Narrative,"Benefits (£m, Presented in 2024/25 Real Prices)",Benefits Narrative,Evaluation Plan and Registry Link,Senior Responsible Owner (SRO) Name,Major Projects ID
LOCAL LAND CHARGES (LLC) PROGRAMME,HMLR,Government Transformation and Service Delivery,"The Local Land Charges (LLC) Programme is transforming a fragmented, inefficient service currently delivered by local authorities (LAs) to a single national, digital register across England and Wales. LLCs are generally restrictions or prohibitions on the use of land, such as planning consents or tree preservation order, which binds successive owners and occupiers. This information is obtained as part of LA searches completed in the property buying process and is integral to the purchasers’ investment decision.",,AMBER,"Compared to financial year 24/25 Q4, the SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at Amber. This is primarily due to the need for proven end to end delivery at scale by external suppliers, which will be proven in 2026, and external dependencies the programme manage on a case by case basis. ",01/03/2014,29/12/2028,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 increased from 31/03/2027 to 29/12/2028. This is primarily due to a better understanding of delivery length assumptions, and completion of detailed programme delivery planning. This remains in line with the refreshed LLC Full Business Case.",35.9,33.6,6.41,"Programme in year underspend is related to delivery. Current delivery schedules are extended, resulting in increased spend in latter programme years. ",346.22,"Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 remained the same. Following HMT FBC approval, revised baselines will be forecasted.","8,221.01",No changes to agreed benefit baselines until programme Monitoring & Evaluation Phase 3 completes in 2027. Current benefit realisation on track.,https://evaluation-registry.cabinetoffice.gov.uk/search/072ce9a1-5e0e-4729-8264-d0b904fbe5c6/ ,Iain Banfield,BIS_0015_1516-Q1
ENTERPRISE TAX MANAGEMENT PLATFORM (ETMP),HMRC,Government Transformation and Service Delivery,"Enterprise Tax Management Platform Regeneration is a multi-year programme, established to modernise and protect the backbone of the HMRC tax accounting and payment capability. It will exploit new technology to enable better performance, improved user experience and innovation of our business processes to reduce cost and increase compliance revenue.",,AMBER,"The Programme Delivery Confidence Assessment remains Amber, with an improving trajectory and outlook as the Programme's commercial strategy implementation reaches conclusion. In December 25, the Programme awarded a contract to SAP for the provision of Enterprise Tax Management Platform (ETMP) software for the next 10-15 years and the Programme remains on track to appoint a Migration Delivery Partner in May 26.

Migration enablement risk remains, centring around transforming the ETMP Application Programme Interface (API) landscape, how the applications interact with each other and reducing the size of the current platform. 

A Benefits Realisation plan alongside a business change strategy for the programme is maturing alongside identification of opportunities to reduce the delivery costs and will be presented in the next iteration of the Programme Business Case.
",29/07/2022,31/05/2030,Compared to financial year 24/25-Q4 the project's end date at 25/26 has increased to 31/05/2030 due to delivery of 12 months Hypercare which is a period of heightened support following go-live. ,22.47,19.64,12.61,"The GMPP Q4 and Annual Report are not directly comparable because they use different reference points (Baseline, Forecast, and Budget). Using the Business Case baseline (£22.6m) shows a larger variance, while using the actual budget (£21m) reduces the variance to under 5%.",480.87,"Compared to the 2024/25 financial year, the departmentally agreed Whole Life Costs range, approved by TAP (Treasury Approval Point) in November 2025, is  £453m - £537m.  

The increase in costs is primarily driven  by an increase in SAP contract duration (from 8-10 years)  and a more mature understanding of the scope being delivered across SAP, HMRC and the future Migration Delivery Partner.",42.09,"The previous version of Programme Business Case, approved in May 2024, was based upon an 8-year contract duration, projected whole life costs of £444m. We are reporting benefits of £47m but anticipate these will increase over time to £116m.
 
The key benefit of this Programme is protecting this vital piece of critical national infrastructure which secures over £800bn of tax per year of tax.","https://evaluation-registry.cabinetoffice.gov.uk/evaluation/dad98463-2398-40e3-9bbe-1733c0450062/, https://evaluation-registry.cabinetoffice.gov.uk/search/991fbfd0-805d-4a41-9c44-61d1a91dc556/","Sarah McMann, Paul Williams",HMRC_0292_2324-Q3
Enterprise Customer Relationship Management (eCRM) ,HMRC,Government Transformation and Service Delivery,"ECRM will modernise how HMRC understands and supports customers by replacing fragmented legacy systems with a single enterprise CRM platform. This will give staff a complete view of customer interactions, enabling faster, more consistent resolution and simpler services for customers. ECRM will simplify how services are designed and delivered, reduce avoidable contact, strengthen compliance, and cut reliance on ageing systems. It establishes a long-term platform for continuous improvement, enabling HMRC to deliver fully joined-up services at scale.",AMBER,,"The programme is moving from set-up into active delivery, with commercial activity well advanced and a multidisciplinary delivery model now in place. ECRM has established a single, integrated team focused on delivering priority use cases early, building confidence through real delivery and rapid learning. The focus is now on sustaining a consistent delivery rhythm—securing the core platform, sequencing delivery across services and ensuring business readiness so that capability is adopted and value is realised. This approach prioritises early outcomes while building the foundation for enterprise-wide transformation.",01/04/2025,29/03/2030,"ECRM is a phased, multi-year transformation to establish a single core SaaS CRM platform across HMRC while maintaining stable services. Delivery is focused on priority services, enabling early capability to be deployed, tested and refined in live environments. Future phases will scale this approach across the organisation, shaped by procurement outcomes, delivery learning and the sequencing of dependencies across services and systems. This ensures early value is delivered while maintaining control of risk and service continuity.",12.44,7.98,35.83,"The budget variance exceeds 5%. This reflects the programme having only recently entered the end to end delivery lifecycle, when forecasts were necessarily high-level and based on early assumptions. As delivery plans matured, scope was defined in greater detail and commercial positions were firmed, including contracted activity and evidenced recharges. These changes resulted in a reduction to forecast costs and provide increased confidence that the outturn now reflects confirmed delivery intent rather than indicative early estimates.",256.75,"Whole Life Cost estimates remain indicative and will be refined as procurement concludes and the delivery roadmap matures. Costs reflect the scale of implementing a core CRM platform, delivering priority use cases and managing the phased transition from legacy systems. Investment is being agreed incrementally in tranches to maintain affordability, value for money and delivery control, with future commitments aligned to confirmed scope, commercial outcomes and demonstrated progress. 
",700.92,"ECRM will deliver direct benefits from early use cases and enabling benefits as the platform is adopted across services. Clear ownership and attribution are being established, with benefits recognised only where supported by delivery evidence and approved business cases. The benefits position will strengthen as delivery scales, adoption increases and legacy systems are retired. Realising full value depends on sustained business adoption alongside delivery of the core platform capability.",,Mike Beddington,HMRC_0543_2526-Q2
UNITY PROGRAMME,HMRC,Government Transformation and Service Delivery,"The Shared Service Strategy for government launched in March 2021 setting out the vision to transform Shared Services across the civil service improving end users experience. To achieve this 5 clusters have been formed across the civil service. HM Revenue & Customs (HMRC), Department for Transport (DfT) and Ministry of Housing, Communities and Local Government (MHCLG) collectively make up the Unity Programme. The Unity Vision is to transform HR, Finance and Procurement across HMRC, DfT and MHCLG groups, creating a unified shared service which is user centric, swift and cost effective. Our colleagues will be empowered through intuitive, streamlined and automated processes, improving their experience and enabling everyone to spend more time delivering essential services for the public.",RED,,"Delivery confidence is improving. Since 2024/25, issues have emerged in planning, governance and delivery control, which have affected pace and confidence. The programme has now put in place a revised delivery approach and strengthened governance, with a clearer plan and leadership model to stabilise delivery. These actions are focused on restoring control and improving delivery confidence over the coming year.

",01/02/2021,30/04/2028,"Compared to financial year 24/25 Q4, the project's end-date at 25/26 Q4 increased from 31/12/2027 to 30/04/2028. This is primarily due to the following factors: There has been slower progress in development and delivery across projects than anticipated. There are also issues with current resourcing levels to achieve delivery timelines. Detailed replanning is underway to bring confidence to milestone delivery and Go Live dates.",66.79,66.98,0.29,The budget variance is less than 5%,245.97,"Compared to financial year 24/25 Q4, the programme's departmentally agreed Whole Life Cost at 25/26 Q4 (measured in £m) remained at 259. However, it is anticipated that the movement of delivery timelines to the right, and addressing the under resourcing of the programme will result in the need for additional funds to complete the programme.  This will be quantified in the next version of the Business Case being submitted late summer 2026.",33.7,"Compared to financial year 24/25 Q4, the programme's departmentally agreed Benefits at 25/26 Q4 (measured in £m) remained at £33M.

","https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fevaluation-registry.cabinetoffice.gov.uk%2Fsearch%2F166fc6ca-2104-4209-a3cf-83bf643cdcbe%2F&data=05%7C02%7Cnicola.wilkinson1%40hmrc.gov.uk%7C728d57d773b3470be43908dd6e13e37e%7Cac52f73cfd1a4a9a8e7a4a248f3139e1%7C0%7C0%7C638787753882857230%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=kI%2F6Chl6Z7LrgETzbRyF66EhVkA8kE%2FYz253d7OKUkE%3D&reserved=0 , https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fevaluation-registry.cabinetoffice.gov.uk%2Fsearch%2F166fc6ca-2104-4209-a3cf-83bf643cdcbe%2F&data=05%7C02%7Cnicola.wilkinson1%40hmrc.gov.uk%7C728d57d773b3470be43908dd6e13e37e%7Cac52f73cfd1a4a9a8e7a4a248f3139e1%7C0%7C0%7C638787753882857230%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=kI%2F6Chl6Z7LrgETzbRyF66EhVkA8kE%2FYz253d7OKUkE%3D&reserved=0, https://evaluation-registry.cabinetoffice.gov.uk/search/166fc6ca-2104-4209-a3cf-83bf643cdcbe/","Adrian Scott, Cath Rollo",HMRC_0031_2122-Q3
HMRC NORTHERN IRELAND DELIVERY PROGRAMME,HMRC,Information and Communications Technology (ICT),"The Northern Ireland Delivery Programme (NIDP) was established in April 2022 to continue delivery of HMRC policy and legislative commitments for Northern Ireland, following the United Kingdom's exit from the European Union. 

It includes delivery of the changes to HMRC systems to enable HMRC and businesses to operate within the terms of the Windsor Framework.   

It is a 5-year programme that is due to close by April 2027.  ",,AMBER,"NISTA's Delivery Confidence Assessment rating at 25/26-Q4 is Amber. This is primarily due to the following factors.  The programme continues to progress delivery of commitments within the Windsor Framework, as agreed between the UK and the EU.  The Amber delivery confidence assessment reflects that the programme is on track to complete delivery of the remaining scope during 2026/27, but there remain some technically complex changes to achieve before closure can be confirmed. Risks to delivery and closure plans are being managed within existing programme and departmental governance.  


",01/04/2022,31/03/2027,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remains scheduled to finish on 31/03/2027. This is primarily due to the following factors.  Progress continues to be made with delivery against the programme strategic outcomes. Plans/expectations for 2026/27 to deliver the remaining scope and for closure of the programme are on track. ",123.11,123.11,0,The budget variance is less than or equal to 5% ,712.9,"Compared to financial year 24/25-Q4, the project's departmental-agree Whole Life Cost at 25/26-Q4 increased from £573.05m to £717.7m This is primarily due to the following factors. In April 2025 the programme lifecycle was extended by 2 years, to meet the latest legislative and ongoing commitments, as set out in the business case. The programme is now due to close in April 2027. The additional costs are for IT delivery, resourcing, live service and includes contingency, for the additional period.


",,"Compared to financial year 24/25-Q4, the project departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at 0. This is primarily due to the following factors. This is unchanged from when the business case was first baselined and reflects that the programme is managing changes to customs and indirect tax systems to comply with policy and legislative requirements.  ",,Sarah Hartley,HMRC_0164_2223-Q3
MAKING TAX DIGITAL,HMRC,Information and Communications Technology (ICT),"Making Tax Digital is a major transformation programme delivering whole system change to the administration of VAT and Income Tax Self-Assessment (ITSA) tax regimes that will change how millions of customers manage their taxes and interact with HMRC.

MTD supports the digitisation and productivity of UK businesses in the 21st century economy. Its aim is to make it easier for businesses to get their tax right and make the calculation and payment of tax simpler through a transformed modern, digital tax service. It will change customer record keeping behaviour by requiring mandated customers to keep digital records and provide quarterly updates to HMRC. This will improve business record keeping and encourage compliant behaviour, whilst providing businesses with a modern digital experience.

The MTD programme will drive digital adoption amongst the UK’s small business population to reduce error in tax and financial administration, supporting productivity and growth. It directly supports the government’s priorities to modernise the tax system, improve customer services, and to close the tax gap by raising billions in additional tax revenue to fund public services. 
",AMBER,,"The Amber delivery status recognises that the programme continues to navigate a challenging and complex delivery environment but remains on track to deliver successfully with robust risk mitigation plans in place. 
Over the last year, MTD continued to meet all key delivery and readiness milestones and a successful testing phase has further demonstrated service and operational readiness. A sustained engagement campaign has resulted in strong agent and customer awareness, and customer sign-ups are in line with forecast trajectories required to realise 26/27 benefits.  
The MTD Programme Board formally reviewed agreed key readiness criteria in September 2025 and January 2026, confirming the programme remained on track to go live from April 2026 with the first mandated cohort.
Independent assurance has been secured through an Internal Audit review and the NISTA Gate 0/4 review. Both concluded that the programme is in a strong readiness position, with all key criteria met for go live.
​
",01/04/2016,31/03/2029,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remained the same.

The programme remains on track to deliver the costed scope as set out in its current business case by March 2029.",138.06,137.59,0.34,The budget variance is less than 5%.,"1,484.62","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) decreased from £1,439.11m to £1,389.46m. This reflects the current scope of the programme, following some minor in year changes.","4,477.49","Overall programme benefits increased by £280m, driven by a combination of policy changes announced at Spring Statement and Autumn Budget 2025 (in particular those relating to Penalty Reform), revised customer costs/saving estimates, and refreshed determinants and population statistics.","https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fevaluation-registry.cabinetoffice.gov.uk%2Fsearch%2Ff6796d51-3a66-4354-be0b-068caffb83f4%2F&data=05%7C02%7Csamuel.jones4%40hmrc.gov.uk%7C05db35f70c7f4feb83cf08dd712233cd%7Cac52f73cfd1a4a9a8e7a4a248f3139e1%7C0%7C0%7C638791113907403798%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=KKqa2mykyytTcmn8ROPbJ%2FK5ykVZFLhkwBCnfT%2FEviw%3D&reserved=0, https://www.gov.uk/government/publications/making-tax-digital-for-vat-final-evaluation, https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fevaluation-registry.cabinetoffice.gov.uk%2Fsearch%2F673df455-887e-424e-a7c7-90f1bb99e932%2F&data=05%7C02%7Csamuel.jones4%40hmrc.gov.uk%7C05db35f70c7f4feb83cf08dd712233cd%7Cac52f73cfd1a4a9a8e7a4a248f3139e1%7C0%7C0%7C638791113907433152%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=A3GWxU%2ByR7vzAYks%2FLuwbuHICvBPkZkNib9qie0nGXQ%3D&reserved=0, https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fevaluation-registry.cabinetoffice.gov.uk%2Fsearch%2F1ed01770-18f0-497b-9950-23fe5d0944f3%2F&data=05%7C02%7Csamuel.jones4%40hmrc.gov.uk%7C05db35f70c7f4feb83cf08dd712233cd%7Cac52f73cfd1a4a9a8e7a4a248f3139e1%7C0%7C0%7C638791113907456881%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=imH4XS1iuqmEhX0Se05gb1ZtxqEl3imLlw2sQiIk3Hg%3D&reserved=0, https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fevaluation-registry.cabinetoffice.gov.uk%2Fsearch%2F38fe3732-0544-4bbd-b4d5-8e52cb8530e6%2F&data=05%7C02%7Csamuel.jones4%40hmrc.gov.uk%7C05db35f70c7f4feb83cf08dd712233cd%7Cac52f73cfd1a4a9a8e7a4a248f3139e1%7C0%7C0%7C638791113907361019%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=QRNYP6JemupB5R3gSkc8N92M%2BhBXT%2F%2BLY8P9NE8lHpc%3D&reserved=0, https://evaluation-registry.cabinetoffice.gov.uk/search/38fe3732-0544-4bbd-b4d5-8e52cb8530e6/","Jonathan Athow, Suzanne Newton",HMRC_0017_1617-Q2
BUILDING OUR FUTURE LOCATIONS PROGRAMME,HMRC,Government Transformation and Service Delivery,"HMRC’s locations strategy, announced in 2015, is key to enabling a modern tax and customs administration. 
The programme transforms HMRC’s estate to enable the organisation to operate from strategically important locations that support both government’s priorities and HMRC’s delivery. Our people will work in large, modern regional centres, regional offices and a London Headquarters from which we can better deliver our services.

Our long-term offices are being sited in locations where HMRC can recruit, retain and develop a talented workforce, equipped with the digital infrastructure and flexible workspace needed to support and motivate our people.",,GREEN,"The programme’s Delivery Confidence Assessment improved from Amber to Green following a National Infrastructure and Service Transformation Authority (NISTA) review in July 2025. This reflects strong confidence in the programme’s governance, capability and delivery approach. In April 2026, the programme moved from NISTA GMPP reporting to Major Project status, with assurance now led by HMRC. The programme continues to secure and deliver long‑term locations that retain critical skills, minimise redundancies and rehire costs, and provide best value for money—supporting HMRC’s long‑term workforce sustainability and operational effectiveness.",05/01/2016,05/04/2031,"Compared to financial year 24/25-Q4, the programme's end-date at 25/26-Q4 remained the same - 05/04/2031. 
Whilst the current assumption remains that the Locations Programme will close in 2030/31, the programme continues to undertake rigorous planning to ensure a smooth, well‑coordinated programme closure that protects delivery confidence and organisational readiness.",201.79,212.5,5.31,The 2025/26 full year final position is £10m higher than the departmental forecast reported at Q3 driven by recognising opportunities to accelerate areas of the programme which de-risks delivery timelines.,"2,831.53","The programme was originally planned to complete within 10 years but is now expected to run for 15 years. In 2018/19, the business case was updated and the Whole Life Costs (WLC) were extended to a 25-year period, in line with industry standards. This approach has been used consistently in all subsequent business cases. As a result of the longer programme duration, the discounted HM Treasury WLC increased, but it remains within the overall WLC envelope set out in the original programme.",143.88,The programme's Benefits at 25/26-Q4 remain in line with the departmental baseline. Monetised benefits represent estate running cost savings as a result of exiting legacy estate and moving into new offices. ,https://evaluation-registry.cabinetoffice.gov.uk/search/5fb623a6-bf67-48b2-a5d1-8851e1bab759/,Louis C Roberts,HMRC_0015_1617-Q1
Contact Centre as a Service (CCaaS),HMRC,Government Transformation and Service Delivery,"Contact Centre as a Service (CCaaS) is a programme to modernise HMRC’s contact centre technology. It will replace ageing systems with a secure, cloud‑based platform that makes it easier for customers to contact HMRC and for advisors to provide a better, more efficient service.
CCaaS will improve call handling, digital contact options and service resilience, helping HMRC respond more effectively to customer demand while supporting future service improvements.",AMBER,,"The Contact Centre as a Service programme is rated Amber as it moves into mobilisation and discovery following supplier approval.

The rating reflects known delivery risks, including maintaining service continuity during transition from legacy systems; ensuring sufficient delivery and integration capacity; achieving business readiness and adoption across operational teams; and dependency on timely deployment to realise benefits. These risks are understood and are being actively managed through phased delivery, strengthened business readiness activity, clear accountabilities, and ongoing governance and assurance.

Delivery is being actively managed to maintain control of cost, scope and delivery assumptions, while strengthening capability and business readiness to support successful implementation and adoption. Ongoing assurance and governance arrangements are in place, with actions tracked to completion, providing confidence that the programme remains deliverable and that benefits will be realised as planned.",01/04/2025,29/10/2027,"The schedule reflects the completion of procurement activity in line with plan and a continued focus on ensuring a safe and controlled transition from existing contact centre systems.  The schedule continues to balance pace with service continuity, allowing sufficient time for implementation, testing and business readiness activities to minimise the risk of disruption to live services.",6.33,5.64,10.87,"The budget variance exceeds 5% and reflects the transition from early, high-level estimates to a more mature and assumption-led forecast. As delivery plans and commercial positions have developed, previously indicative budget assumptions have been revisited, with greater clarity on scope, profiling and cost drivers.  As a result, the current forecast provides a more realistic and evidence-based view of expected spend, with variance mainly driven by improved definition and the reclassification of uncertain elements rather than a change in overall delivery ambition.



",571.86,"The programme continues to deliver within its approved funding envelope. This reflects cost estimates that are consistent with the approved business case and the programme’s current stage, with costs being closely managed as the programme moves from procurement into delivery.",237.99,"The programme has defined its expected benefits, and is expected to improve service resilience, customer experience and operational efficiency and is taking action to ensure it is affordable, delivers value for money and is achievable. The programme is establishing clear, measurable benefits with accountable owners, alongside baselining current performance to enable robust tracking of benefits realisation. Full monetisation of benefits will be completed following supplier selection and finalisation of the detailed design and operating model, when implementation choices and delivery profiles are confirmed.

",,Mike Beddington,HMRC_0544_2526-Q2
NS&I Transformation,HMT,Government Transformation and Service Delivery,"The Business Transformation Programme (BTP) exists to modernise NS&I’s technology, operating model and supplier arrangements so that the organisation can continue to deliver safe, secure and reliable savings products while providing long‑term value for money to the taxpayer. 

The programme is designed to replace ageing, expensive, inflexible legacy systems and move NS&I towards a more cost-effective, resilient, scalable and digital‑first service, enabling it to respond effectively to changing customer needs, Government policy requirements and market conditions. 

In doing so, the programme aims to:

- Reduce the long‑term cost of running the business, including Business‑as‑Usual operations and future change delivery 
- Improve customer experience and accessibility, supporting digital self‑service while ensuring provision for vulnerable or excluded customers 
- Increase operational resilience and security, including improved cyber security and continuity of service through transition and beyond 
- Strengthen NS&I’s agility and change capability, allowing faster, lower‑risk delivery of new products and policy‑driven change for HM Treasury 

Overall, the Business Transformation Programme underpins NS&I’s ambition to become the UK’s most trusted savings provider, with a sustainable delivery model that supports public services over the long term and aligns with Government Major Projects Portfolio (GMPP) expectations for value, resilience and capability.",RED,,"Delivery confidence is assessed as RED because the programme cannot currently be delivered to agreed cost, schedule and scope without significant re‑planning and re‑baselining. There is no agreed, affordable end‑to‑end delivery plan, with delivery outcomes dependent on the resolution of active options analysis and future funding decisions.

Confidence is further constrained by Spending Review affordability pressures, ongoing uncertainty around scope and sequencing, and the absence of a finalised, quantified benefits baseline. Until these issues are resolved and a preferred option is approved, delivery commitments cannot be made with confidence.

Senior‑level intervention and agreement with HM Treasury are required to restore a credible baseline and improve delivery confidence.",03/06/2019,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 – Commercial interests​,Matthew Smith,HMT_0004_2021-Q2
NATIONAL STRATEGIC AUTOMATIC NUMBER PLATE RECOGNITION PLATFORM (NSAP),HO,Government Transformation and Service Delivery,"The National ANPR (Automatic Number Plate Recognition) Capability provides lines of enquiry and evidence in the investigation of crime and is used by forces throughout England, Wales and Scotland as well as approved Law Enforcement Agencies. The National Strategic ANPR Platform (NSAP) Programme is delivering the next generation of data store, integration and application capabilities to support Police and Law Enforcement in their public protection missions.
",,AMBER,Exempt under Section 31 (1) - Law enforcement,01/03/2023,30/03/2030,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remains the same date (29/03/30)",39.03,36.73,5.91,The budget variance only just exceeds 5%. This is primarily due to unforeseen pressures influencing in year forecasting.,391.77,"Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 decreased from last year's WLC. This is primarily due to the reduction of the Optimism Bias.",35.68,Exempt under Section 31 (1) - Law enforcement,Exempt under Section 31 (1) - Law enforcement ​,Ian Caplan,HO_0332_2324-Q4
MARITIME CAPABILITIES REPLACEMENT PROGRAMME,HO,Government Transformation and Service Delivery,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,"The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information, Section 43 - Commercial interests",The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,"The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information, Section 43 - Commercial interests",HO_0150_2223-Q2
