project_name,task_id,task_name,priority,priority_score,decision_question,what_changed,forecast_if_no_action,why_now,recommended_action,owner_role,decision_by,evidence,confidence,next_evidence,human_gate
Alpha,tsk-010,Task 010,P3,8.0,Task 010: can this remain on watch without director intervention?,Slippage held at 10 days in the latest update.,Next reported position: about 10 days late.,The selected model expects 10 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-043,Task 043,P3,6.4,Task 043: can this remain on watch without director intervention?,Slippage held at 8 days in the latest update.,Next reported position: about 8 days late.,The selected model expects 8 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-065,Task 065,P3,6.0,Task 065: can this remain on watch without director intervention?,Slippage worsened by 4 days in the latest update to 0 days.,Next reported position: about 0 days late.,The selected model expects 0 days of slippage. Its rolling-test MAE is 0.8 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.8 days; next update is stable,0.911,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-003,Task 003,P3,5.6,Task 003: can this remain on watch without director intervention?,Slippage held at 7 days in the latest update.,Next reported position: about 7 days late.,The selected model expects 7 days of slippage. Its rolling-test MAE is 0.2 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.2 days; next update is stable,0.94,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-058,Task 058,P3,4.0,Task 058: can this remain on watch without director intervention?,Slippage held at 5 days in the latest update.,Next reported position: about 5 days late.,The selected model expects 5 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-002,Task 002,P3,1.6,Task 002: can this remain on watch without director intervention?,Slippage held at 2 days in the latest update.,Next reported position: about 2 days late.,The selected model expects 2 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-055,Task 055,P3,1.6,Task 055: can this remain on watch without director intervention?,Slippage held at 2 days in the latest update.,Next reported position: about 2 days late.,The selected model expects 2 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-073,Task 073,P3,1.6,Task 073: can this remain on watch without director intervention?,Slippage held at 2 days in the latest update.,Next reported position: about 2 days late.,The selected model expects 2 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-045,Task 045,P3,0.8,Task 045: can this remain on watch without director intervention?,Slippage held at 1 days in the latest update.,Next reported position: about 1 days late.,The selected model expects 1 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-020,Task 020,P3,0.0,Task 020: can this remain on watch without director intervention?,Slippage held at -5 days in the latest update.,Next reported position: about -5 days late.,The selected model expects -5 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-025,Task 025,P3,0.0,Task 025: can this remain on watch without director intervention?,Slippage held at -2 days in the latest update.,Next reported position: about -2 days late.,The selected model expects -2 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-039,Task 039,P3,0.0,Task 039: can this remain on watch without director intervention?,Slippage held at -3 days in the latest update.,Next reported position: about -3 days late.,The selected model expects -3 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-046,Task 046,P3,0.0,Task 046: can this remain on watch without director intervention?,Slippage held at -2 days in the latest update.,Next reported position: about -2 days late.,The selected model expects -2 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-060,Task 060,P3,0.0,Task 060: can this remain on watch without director intervention?,Slippage held at -44 days in the latest update.,Next reported position: about -44 days late.,The selected model expects -44 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-069,Task 069,P3,0.0,Task 069: can this remain on watch without director intervention?,Slippage held at -10 days in the latest update.,Next reported position: about -10 days late.,The selected model expects -10 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
